summary id, experiment id, active hosts, packet size, packets sent, bits sent, bit times elapsed, average transmission delay
927,1011,2,64,116847,78521184,100000403.75039,576.0
928,1012,2,128,81280,96235520,100000259.843587,1088.0
929,1013,2,256,45278,99973824,100000913.983832,2112.0
930,1014,2,512,23243,98922208,100001621.174511,4160.0
931,1015,2,768,15823,99748192,100004284.105599,6208.0
932,1016,2,1024,11951,99814752,100003152.079999,8256.00000000001
933,1017,2,1536,8023,99870304,100003420.0864,12352.0
934,1018,2,2048,6038,99892672,100000100.8272,16448.0
935,1019,2,3072,4041,99958176,100021943.576,24640.0
936,1020,2,4000,3108,99953280,100004769.9856,32064.0
937,1021,3,64,142230,95578560,100000220.593655,576.0
938,1022,3,128,83544,98916096,100000008.841528,1091.47541560194
939,1023,3,256,44960,99271680,100000086.499074,2118.95836672584
940,1024,3,512,23327,99279712,100003141.155162,4173.69944157969
941,1025,3,768,15800,99603200,100000952.921571,6236.05345547655
942,1026,3,1024,11914,99505728,100003388.295945,8320.99727287152
943,1027,3,1536,7995,99521760,100005725.224003,12540.4310789689
944,1028,3,2048,6013,99479072,100011545.953628,16732.6728881137
945,1029,3,3072,4027,99611872,100010848.168004,25437.4750625059
946,1030,3,4000,3100,99696000,100012821.481584,32981.0907604232
947,1031,4,64,142763,95936736,100000099.875008,598.812805258669
948,1032,4,128,81814,96867776,100000362.6481,1120.15332312666
949,1033,4,256,44282,97774656,100000643.102505,2198.22651704244
950,1034,4,512,23242,98917952,100000440.078397,4224.16770758136
951,1035,4,768,15749,99281696,100000913.841578,6284.313853746
952,1036,4,1024,11883,99246816,100001314.289588,8427.7854385244
953,1037,4,1536,7992,99484416,100000958.703982,12744.9881709453
954,1038,4,2048,6001,99280544,100010137.640006,17134.3427923738
955,1039,4,3072,4023,99512928,100021522.283196,25528.6424981298
956,1040,4,4000,3095,99535200,100002236.265593,33729.2964384291
957,1041,5,64,143337,96322464,100000136.843106,625.91879488456
958,1042,5,128,82755,97981920,100000336.020687,1110.16121863856
959,1043,5,256,44626,98534208,100000453.262276,2131.63929189228
960,1044,5,512,23185,98675360,100001694.70721,4262.51988333735
961,1045,5,768,15667,98764768,100000012.489643,6335.49185631432
962,1046,5,1024,11861,99063072,100000608.884791,8542.82019716669
963,1047,5,1536,7964,99135872,100002801.639994,12922.1994866355
964,1048,5,2048,5997,99214368,100005338.603197,17494.8642018279
965,1049,5,3072,4019,99413984,100013926.438392,25350.5279217851
966,1050,5,4000,3090,99374400,100000605.182381,35193.9090791672
967,1051,6,64,142550,95793600,100000229.063726,654.527119450535
968,1052,6,128,81948,97026432,100000006.952086,1121.09007837086
969,1053,6,256,44609,98496672,100000236.409495,2138.07918744197
970,1054,6,512,23148,98517888,100000083.616012,4335.95702894042
971,1055,6,768,15654,98682816,100000148.262398,6795.98567951436
972,1056,6,1024,11845,98929440,100006624.599961,8672.37877433376
973,1057,6,1536,7960,99086080,100001288.420777,13087.509427422
974,1058,6,2048,5986,99032384,100007650.697596,18119.4391564433
975,1059,6,3072,4009,99166624,100004707.61119,26971.1385020182
976,1060,6,4000,3086,99245760,100012306.233597,35713.8001473576
977,1061,7,64,142913,96037536,100000119.249414,685.6699189979
978,1062,7,128,82504,97684736,100000474.478225,1126.16218720676
979,1063,7,256,44302,97818816,100000292.505526,2195.68041852369
980,1064,7,512,23055,98122080,100000630.82883,4472.81685290437
981,1065,7,768,15612,98418048,100000171.3136,6807.474980992
982,1066,7,1024,11819,98712288,100004932.859185,8643.24294575753
983,1067,7,1536,7939,98824672,100009527.025585,13552.3029102164
984,1068,7,2048,5983,98982752,100010526.652782,17970.2677859741
985,1069,7,3072,4005,99067680,100009506.64,28303.1242445061
986,1070,7,4000,3086,99245760,100019348.671987,36390.0219204349
987,1071,8,64,141383,95009376,100000015.850886,825.08641592005
988,1072,8,128,81574,96583616,100000441.537602,1201.80851316012
989,1073,8,256,44142,97465536,100000699.742386,2296.0041391365
990,1074,8,512,23007,97917792,100000166.913622,4403.07859171163
991,1075,8,768,15607,98386528,100002492.863973,6904.8360353627
992,1076,8,1024,11785,98428320,100003514.497595,9205.59503239835
993,1077,8,1536,7919,98575712,100000735.094392,14457.022856853
994,1078,8,2048,5975,98850400,100006423.463976,17762.0603599643
995,1079,8,3072,4004,99042944,100005053.508787,27679.2310302764
996,1080,8,4000,3082,99117120,100001044.595193,37232.2474207856
997,1081,9,64,140378,94334016,100000040.745412,983.984266937873
998,1082,9,128,80766,95626944,100000207.990497,1169.06983832776
999,1083,9,256,44109,97392672,100000698.697553,2271.29727879212
1000,1084,9,512,22994,97862464,100000620.675187,4774.91064361967
1001,1085,9,768,15578,98203712,100003565.412766,6939.94952925796
1002,1086,9,1024,11763,98244576,100006355.081584,9769.4170015886
1003,1087,9,1536,7899,98326752,100001499.588797,14777.1338834757
1004,1088,9,2048,5969,98751136,100001215.871974,19473.206328009
1005,1089,9,3072,4002,98993472,100011941.329585,28854.3331121157
1006,1090,9,4000,3080,99052800,100005353.73759,37938.5849228305
1007,1091,10,64,139180,93528960,100000003.195034,1165.4060844943
1008,1092,10,128,81117,96042528,100000181.915225,1177.07819359833
1009,1093,10,256,44036,97231488,100000419.420773,2327.81960970407
1010,1094,10,512,22965,97739040,100000093.454372,5077.25084062278
1011,1095,10,768,15538,97951552,100002640.492785,7331.68864315403
1012,1096,10,1024,11748,98119296,100003276.308783,10025.8232572026
1013,1097,10,1536,7906,98413888,100011133.604784,15088.2131926328
1014,1098,10,2048,5959,98585696,100005642.089586,20566.2409254564
1015,1099,10,3072,3994,98795584,100014678.939189,28512.0813467942
1016,1100,10,4000,3076,98924160,100006460.097593,40148.4575744708
1017,1101,11,64,137197,92196384,100000320.476697,1405.80940947355
1018,1102,11,128,81283,96239072,100000148.985572,1275.01246487996
1019,1103,11,256,43863,96849504,100000204.108807,2461.93631740347
1020,1104,11,512,22939,97628384,100000690.93917,4899.59880267026
1021,1105,11,768,15512,97787648,100000062.739178,7000.40427209498
1022,1106,11,1024,11724,97918848,100000309.027193,9932.23262139971
1023,1107,11,1536,7896,98289408,100000762.638383,15003.6962656168
1024,1108,11,2048,5951,98453344,100000016.219186,19985.7357769707
1025,1109,11,3072,3993,98770848,100000811.471986,29582.4204186149
1026,1110,11,4000,3077,98956320,100009668.233592,40638.5556511424
1027,1111,12,64,137517,92411424,100000000.964675,1472.72099733231
1028,1112,12,128,80950,95844800,100000767.259148,1315.67554741716
1029,1113,12,256,43792,96692736,100000153.944004,2446.47357911977
1030,1114,12,512,22893,97432608,100000716.387176,4820.90351771143
1031,1115,12,768,15505,97743520,100001933.246371,7642.29035366334
1032,1116,12,1024,11720,97885440,100003483.953583,10188.1204496992
1033,1117,12,1536,7890,98214720,100000559.804779,14762.799556043
1034,1118,12,2048,5943,98320992,100000812.825588,20309.5065208668
1035,1119,12,3072,3989,98671904,100003245.547185,29442.4659853418
1036,1120,12,4000,3078,98988480,100015706.972787,36581.2255935082
1037,1121,13,64,136207,91531104,100000052.726297,1622.00450411639
1038,1122,13,128,80665,95507360,100000064.479981,1337.69926406917
1039,1123,13,256,43782,96670656,100000299.415946,2462.4933350154
1040,1124,13,512,22816,97104896,100000294.156786,5335.4661137284
1041,1125,13,768,15468,97510272,100000386.939177,7651.19173840894
1042,1126,13,1024,11689,97626528,100001387.062387,10878.4235022819
1043,1127,13,1536,7883,98127584,100005726.913578,15762.4169431209
1044,1128,13,2048,5942,98304448,100000446.163183,20983.5943866621
1045,1129,13,3072,3988,98647168,100008341.825586,30025.4999460528
1046,1130,13,4000,3074,98859840,100012266.62879,40488.3837389639
1047,1131,14,64,135874,91307328,100000031.06068,1666.0341523143
1048,1132,14,128,80743,95599712,100000008.663954,1382.92926891042
1049,1133,14,256,43692,96471936,100000639.692742,2650.74033402746
1050,1134,14,512,22796,97019776,100001169.147173,5081.02525209961
1051,1135,14,768,15435,97302240,100000100.08958,8212.25427218651
1052,1136,14,1024,11678,97534656,100001809.060783,10697.1719752735
1053,1137,14,1536,7872,97990656,100003213.177581,15898.3456865669
1054,1138,14,2048,5936,98205184,100002263.993584,21418.268540356
1055,1139,14,3072,3986,98597696,100003657.091185,31330.3941200148
1056,1140,14,4000,3073,98827680,100006941.468787,37318.7717232159
1057,1141,15,64,134288,90241536,100000000.84952,2082.47062795476
1058,1142,15,128,80452,95255168,100000001.939183,1374.51203070064
1059,1143,15,256,43714,96520512,100000578.90553,2802.14550555301
1060,1144,15,512,22764,96883584,100000113.747161,5629.2438841287
1061,1145,15,768,15431,97277024,100004835.764765,8181.43388906551
1062,1146,15,1024,11669,97459488,100002971.859172,11537.9618087428
1063,1147,15,1536,7870,97965760,100000529.729567,15770.4516072992
1064,1148,15,2048,5929,98089376,100003900.385584,22241.5398645109
1065,1149,15,3072,3985,98572960,100001950.404785,31964.5568649531
1066,1150,15,4000,3073,98827680,100007901.303987,44322.1968017924
1067,1151,16,64,135269,90900768,100000306.182294,1970.81083596577
1068,1152,16,128,80372,95160448,100000576.974356,1528.24324984733
1069,1153,16,256,43483,96010464,100000424.075176,2935.73870147449
1070,1154,16,512,22676,96509056,100000957.126382,5918.96049149195
1071,1155,16,768,15409,97138336,100002672.801565,8657.08697329329
1072,1156,16,1024,11661,97392672,100001468.267169,11689.480968002
1073,1157,16,1536,7856,97791488,100000126.38398,18484.5107182081
1074,1158,16,2048,5933,98155552,100012311.124777,21367.4952478682
1075,1159,16,3072,3983,98523488,100002227.441585,32562.2044184906
1076,1160,16,4000,3072,98795520,100012660.372786,43788.5619497007
1077,1161,17,64,133459,89684448,100000213.163103,2540.76208722615
1078,1162,17,128,80085,94820640,100000341.52476,1377.25285097527
1079,1163,17,256,43364,95747712,100000226.220765,3199.41352145333
1080,1164,17,512,22683,96538848,100000594.884755,6159.51023893331
1081,1165,17,768,15398,97068992,100000446.023974,8229.21457376493
1082,1166,17,1024,11652,97317504,100003176.340772,11560.7438996825
1083,1167,17,1536,7851,97729248,100004444.70718,16484.015323181
1084,1168,17,2048,5934,98172096,100006348.56638,21093.4819270667
1085,1169,17,3072,3985,98572960,100007911.307182,32138.337582552
1086,1170,17,4000,3073,98827680,100001978.223984,38786.7585302617
1087,1171,18,64,131705,88505760,100000001.148729,2910.26050569507
1088,1172,18,128,79932,94639488,100000320.801568,1457.2801828937
1089,1173,18,256,43323,95657184,100000365.857548,3189.24581479967
1090,1174,18,512,22654,96415424,100000008.750366,6283.71273152898
1091,1175,18,768,15356,96804224,100003049.775972,9062.88043922989
1092,1176,18,1024,11642,97233984,100003788.30717,12252.5294469981
1093,1177,18,1536,7842,97617216,100000946.076775,18711.7953647238
1094,1178,18,2048,5926,98039744,100000010.739178,22185.634510479
1095,1179,18,3072,3982,98498752,100010293.783985,31536.6489731613
1096,1180,18,4000,3073,98827680,100006694.865585,42368.8006443028
1097,1181,19,64,132483,89028576,100000028.321503,2869.67167853374
1098,1182,19,128,79982,94698688,100000013.675121,1457.27183652661
1099,1183,19,256,43126,95222208,100000006.692785,3207.78752104517
1100,1184,19,512,22635,96334560,100000620.012757,6070.90306939328
1101,1185,19,768,15321,96583584,100000352.084772,9663.47940413879
1102,1186,19,1024,11618,97033536,100000926.561574,13206.7424708066
1103,1187,19,1536,7849,97704352,100005675.577574,17125.4347874627
1104,1188,19,2048,5921,97957024,100002058.078378,24291.0807015834
1105,1189,19,3072,3983,98523488,100015306.564782,31458.2095146023
1106,1190,19,4000,3070,98731200,100000383.703985,40946.2476314223
1107,1191,20,64,131517,88379424,100000107.971096,3263.99896230556
1108,1192,20,128,79683,94344672,100000225.415958,1742.24959690849
1109,1193,20,256,43134,95239872,100001347.067166,3560.30583886743
1110,1194,20,512,22584,96117504,100000052.943968,6550.40808105975
1111,1195,20,768,15344,96728576,100000019.665561,9474.18166208872
1112,1196,20,1024,11616,97016832,100004258.115171,13528.661858151
1113,1197,20,1536,7838,97567424,100000012.601576,18031.2054139698
1114,1198,20,2048,5925,98023200,100005846.699177,24905.4539649052
1115,1199,20,3072,3979,98424544,100000060.427183,33911.4661290255
1116,1200,20,4000,3069,98699040,100024419.342385,40265.3706801943
1117,1201,21,64,131018,88044096,100000010.748695,3570.0576273062
1118,1202,21,128,79314,93907776,100000826.790392,1675.94255243802
1119,1203,21,256,43018,94983744,100000020.239981,3395.32436997634
1120,1204,21,512,22526,95870656,100001508.588768,6852.58499354996
1121,1205,21,768,15298,96438592,100000903.975972,9833.05934269867
1122,1206,21,1024,11608,96950016,100001141.305571,12422.5606997973
1123,1207,21,1536,7836,97542528,100002472.524771,17736.3541616352
1124,1208,21,2048,5923,97990112,100008171.119976,23283.2092208315
1125,1209,21,3072,3979,98424544,100003997.707184,34698.8908478001
1126,1210,21,4000,3070,98731200,100008382.790386,41697.5329841415
1127,1211,22,64,129915,87302880,100000419.308705,3608.51689856597
1128,1212,22,128,79282,93869888,100000498.588755,1751.83675737622
1129,1213,22,256,42961,94857888,100000912.505568,3821.2297378773
1130,1214,22,512,22488,95708928,100001422.110365,7205.23114250347
1131,1215,22,768,15287,96369248,100000348.171166,10225.5936000692
1132,1216,22,1024,11585,96757920,100002929.454369,13516.5139896931
1133,1217,22,1536,7828,97442944,100000754.809576,20386.3195567832
1134,1218,22,2048,5916,97874304,100000690.121578,25071.4282481582
1135,1219,22,3072,3976,98350336,100002318.654382,34687.5275765485
1136,1220,22,4000,3068,98666880,100011113.819185,45476.2896088817
1137,1221,23,64,129107,86759904,100000008.478319,4280.23548856094
1138,1222,23,128,79018,93557312,100000923.457568,1717.47662667884
1139,1223,23,256,42919,94765152,100000373.063951,3582.59275021311
1140,1224,23,512,22498,95751488,100000189.033556,7274.70783384436
1141,1225,23,768,15276,96299904,100000113.271961,9645.84394032179
1142,1226,23,1024,11584,96749568,100003722.559966,14113.5148399383
1143,1227,23,1536,7822,97368256,100000028.590375,20130.7372331305
1144,1228,23,2048,5913,97824672,100000775.953577,24633.1389172398
1145,1229,23,3072,3977,98375072,100000170.961581,35549.1648585145
1146,1230,23,4000,3068,98666880,100004238.825584,45855.654951259
1147,1231,24,64,128473,86333856,100000007.107123,4894.97741718239
1148,1232,24,128,78890,93405760,100000298.751967,1904.8412667655
1149,1233,24,256,42807,94517856,100000489.369554,3552.31541918338
1150,1234,24,512,22444,95521664,100001557.177564,7612.88159143066
1151,1235,24,768,15255,96167520,100000358.694368,10908.914414614
1152,1236,24,1024,11576,96682752,100000873.50557,14271.6322215737
1153,1237,24,1536,7820,97343360,100000907.987176,19431.1536322312
1154,1238,24,2048,5908,97741952,100001716.539178,25099.4167330623
1155,1239,24,3072,3976,98350336,100007825.134382,33945.9344430611
1156,1240,24,4000,3067,98634720,100000304.542385,45855.6798107929
